Type,Size,Blocks,ThreadsPerBlock,ComputationTimeMs,ExecutionTimeMs,DataTransferTimeMs,Throughput,Sorted
Cuda Odd-Even,10000,20,256,113.394,114.510,0.110,87297.13,Yes
Cuda Odd-Even,100000,196,256,878.539,880.355,0.170,113521.73,Yes
Cuda Odd-Even,200000,391,256,1593.570,1596.315,0.242,125209.42,Yes
Cuda Odd-Even,10000,20,256,64.576,65.242,0.076,153162.58,Yes
Cuda Odd-Even,100000,196,256,856.030,857.698,0.181,116528.33,Yes
Cuda Odd-Even,200000,391,256,1600.390,1603.306,0.241,124661.40,Yes
Cuda Odd-Even,10000,20,256,65.555,66.156,0.063,151078.63,Yes
Cuda Odd-Even,100000,196,256,758.337,760.347,0.157,131436.48,Yes
Cuda Odd-Even,200000,391,256,1530.161,1533.195,0.283,130364.54,Yes
Cuda Odd-Even,10000,20,256,68.253,68.948,0.060,144955.27,Yes
Cuda Odd-Even,100000,196,256,723.622,725.364,0.149,137754.90,Yes
Cuda Odd-Even,200000,391,256,1561.899,1564.703,0.263,127741.47,Yes
