Type,Size,Blocks,ThreadsPerBlock,ComputationTimeMs,ExecutionTimeMs,DataTransferTimeMs,Throughput,Sorted
Cuda Odd-Even,10000,10,512,82.423,83.093,0.092,120302.78,Yes
Cuda Odd-Even,100000,98,512,846.253,848.103,0.175,117806.26,Yes
Cuda Odd-Even,200000,196,512,1641.576,1644.688,0.282,121510.77,Yes
Cuda Odd-Even,10000,10,512,73.882,74.473,0.083,134211.07,Yes
Cuda Odd-Even,100000,98,512,764.616,766.333,0.169,130404.99,Yes
Cuda Odd-Even,200000,196,512,1634.115,1637.682,0.257,122036.76,Yes
Cuda Odd-Even,10000,10,512,82.836,83.398,0.094,119864.12,Yes
Cuda Odd-Even,100000,98,512,780.071,782.040,0.175,127799.07,Yes
Cuda Odd-Even,200000,196,512,1613.675,1617.834,0.253,123541.05,Yes
Cuda Odd-Even,10000,10,512,91.347,92.099,0.080,108542.04,Yes
Cuda Odd-Even,100000,98,512,775.364,777.326,0.162,128577.00,Yes
Cuda Odd-Even,200000,196,512,1611.069,1614.308,0.278,123783.82,Yes
